                                     | Core 0    
  Instructions                       |      11070
  Cycles                             |      57600
  IPC                                |       0.19
  Time (ns)                          |      28800
  Idle time (ns)                     |        -27
  Idle time (%)                      |      -0.1%
Branch predictor stats               |           
  num correct                        |       1211
  num incorrect                      |        208
  misprediction rate                 |     14.66%
  mpki                               |      18.79
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       1647
    num misses                       |         10
    miss rate                        |      0.61%
    mpki                             |       0.90
  D-TLB                              |           
    num accesses                     |       5360
    num misses                       |         15
    miss rate                        |      0.28%
    mpki                             |       1.36
  L2 TLB                             |           
    num accesses                     |         25
    num misses                       |         25
    miss rate                        |    100.00%
    mpki                             |       2.26
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       1647
    num cache misses                 |        178
    miss rate                        |     10.81%
    mpki                             |      16.08
  Cache L1-D                         |           
    num cache accesses               |       5360
    num cache misses                 |         99
    miss rate                        |      1.85%
    mpki                             |       8.94
  Cache L2                           |           
    num cache accesses               |        282
    num cache misses                 |        273
    miss rate                        |     96.81%
    mpki                             |      24.66
DRAM summary                         |           
  num dram accesses                  |        273
  average dram access latency (ns)   |     124.77
  average dram queueing delay        |      11.96
  average dram bandwidth utilization |     12.00%
Coherency Traffic                    |           
  num loads from dram                |         32
  num loads from dram cache          |          0
  num loads from remote cache        |          0
